 
 
 *exit standby-mode! 
task_idle highWater:12
*enter task_motor!
*enter task_dyn_reg!
adc_temp:2056, vref:1254 mV
pwm output enable!
bat:4010mV, curr:410mA, ntc:7667R,  RMP:11916, duty:502, vbemf:587, bat_level:96, rpm_step:0, duty=502 
bat:4010mV, curr:410mA, ntc:7667R,  RMP:11916, duty:502, vbemf:586, bat_level:96, rpm_step:0, duty=502 
bat:4010mV, curr:410mA, ntc:7667R,  RMP:11916, duty:502, vbemf:586, bat_level:96, rpm_step:0, duty=502 
bat:4010mV, curr:410mA, ntc:7667R,  RMP:11916, duty:501, vbemf:579, bat_level:96, rpm_step:0, duty=501 
bat:4010mV, curr:410mA, ntc:7667R,  RMP:11916, duty:501, vbemf:582, bat_level:96, rpm_step:0, duty=501 
bat:4010mV, curr:410mA, ntc:7667R,  RMP:11916, duty:501, vbemf:580, bat_level:96, rpm_step:0, duty=501 
bat:4010mV, curr:410mA, ntc:7657R,  RMP:11916, duty:501, vbemf:587, bat_level:96, rpm_step:0, duty=501 
bat:4010mV, curr:410mA, ntc:7657R,  RMP:11916, duty:498, vbemf:584, bat_level:96, rpm_step:0, duty=498 
bat:4008mV, curr:410mA, ntc:7641R,  RMP:11916, duty:498, vbemf:586, bat_level:96, rpm_step:0, duty=498 
bat:4010mV, curr:410mA, ntc:7646R,  RMP:11916, duty:498, vbemf:586, bat_level:96, rpm_step:0, duty=498 
bat:4010mV, curr:410mA, ntc:7646R,  RMP:11916, duty:498, vbemf:586, bat_level:96, rpm_step:0, duty=498 
bat:4010mV, curr:410mA, ntc:7646R,  RMP:11916, duty:498, vbemf:586, bat_level:96, rpm_step:0, duty=498 
bat:4008mV, curr:410mA, ntc:7641R,  RMP:11916, duty:498, vbemf:577, bat_level:96, rpm_step:0, duty=498 
bat:4010mV, curr:410mA, ntc:7646R,  RMP:11916, duty:498, vbemf:578, bat_level:96, rpm_step:0, duty=498 
bat:4010mV, curr:410mA, ntc:7646R,  RMP:11916, duty:498, vbemf:585, bat_level:96, rpm_step:0, duty=498 
bat:4008mV, curr:410mA, ntc:7641R,  RMP:11916, duty:498, vbemf:590, bat_level:96, rpm_step:0, duty=498 
bat:4008mV, curr:410mA, ntc:7631R,  RMP:11916, duty:497, vbemf:582, bat_level:96, rpm_step:0, duty=497 
bat:4010mV, curr:410mA, ntc:7636R,  RMP:11916, duty:497, vbemf:586, bat_level:96, rpm_step:0, duty=497 
bat:4008mV, curr:410mA, ntc:7631R,  RMP:11916, duty:497, vbemf:588, bat_level:96, rpm_step:0, duty=497 
bat:4008mV, curr:410mA, ntc:7631R,  RMP:11916, duty:497, vbemf:590, bat_level:96, rpm_step:0, duty=497 
bat:4008mV, curr:410mA, ntc:7631R,  RMP:11916, duty:497, vbemf:591, bat_level:96, rpm_step:0, duty=497 
bat:4008mV, curr:410mA, ntc:7621R,  RMP:11916, duty:497, vbemf:587, bat_level:96, rpm_step:0, duty=497 
bat:4008mV, curr:410mA, ntc:7621R,  RMP:11916, duty:497, vbemf:587, bat_level:96, rpm_step:0, duty=497 
bat:4008mV, curr:410mA, ntc:7621R,  RMP:11916, duty:497, vbemf:590, bat_level:96, rpm_step:0, duty=497 
bat:4008mV, curr:410mA, ntc:7621R,  RMP:11916, duty:497, vbemf:583, bat_level:96, rpm_step:0, duty=497 
bat:4006mV, curr:410mA, ntc:7616R,  RMP:11916, duty:497, vbemf:586, bat_level:96, rpm_step:0, duty=497 
bat:4008mV, curr:410mA, ntc:7611R,  RMP:11916, duty:497, vbemf:584, bat_level:96, rpm_step:0, duty=497 
bat:4006mV, curr:410mA, ntc:7606R,  RMP:11916, duty:497, vbemf:589, bat_level:96, rpm_step:0, duty=497 
bat:4006mV, curr:410mA, ntc:7606R,  RMP:11916, duty:497, vbemf:590, bat_level:96, rpm_step:0, duty=497 
bat:4006mV, curr:410mA, ntc:7606R,  RMP:11916, duty:497, vbemf:590, bat_level:96, rpm_step:0, duty=497 
bat:4006mV, curr:390mA, ntc:7606R,  RMP:11916, duty:495, vbemf:590, bat_level:96, rpm_step:0, duty=495 
bat:4006mV, curr:390mA, ntc:7606R,  RMP:11916, duty:494, vbemf:587, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:390mA, ntc:7606R,  RMP:11916, duty:494, vbemf:580, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:390mA, ntc:7595R,  RMP:11916, duty:494, vbemf:570, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:390mA, ntc:7595R,  RMP:11916, duty:494, vbemf:567, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:410mA, ntc:7595R,  RMP:11916, duty:494, vbemf:566, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:410mA, ntc:7595R,  RMP:11916, duty:494, vbemf:575, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:410mA, ntc:7595R,  RMP:11916, duty:494, vbemf:575, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:390mA, ntc:7595R,  RMP:11916, duty:494, vbemf:579, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:390mA, ntc:7585R,  RMP:11916, duty:494, vbemf:575, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:390mA, ntc:7585R,  RMP:11916, duty:494, vbemf:580, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:410mA, ntc:7575R,  RMP:11916, duty:494, vbemf:580, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:410mA, ntc:7575R,  RMP:11916, duty:494, vbemf:582, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:390mA, ntc:7575R,  RMP:11916, duty:494, vbemf:578, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:390mA, ntc:7575R,  RMP:11916, duty:494, vbemf:578, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:390mA, ntc:7575R,  RMP:11916, duty:494, vbemf:578, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:390mA, ntc:7575R,  RMP:11916, duty:494, vbemf:580, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:390mA, ntc:7575R,  RMP:11916, duty:494, vbemf:581, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:390mA, ntc:7565R,  RMP:11916, duty:494, vbemf:581, bat_level:96, rpm_step:0, duty=494 
bat:4004mV, curr:390mA, ntc:7560R,  RMP:11916, duty:494, vbemf:586, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:390mA, ntc:7555R,  RMP:11916, duty:494, vbemf:586, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:390mA, ntc:7555R,  RMP:11916, duty:494, vbemf:582, bat_level:96, rpm_step:0, duty=494 
bat:4006mV, curr:390mA, ntc:7555R,  RMP:11916, duty:493, vbemf:580, bat_level:96, rpm_step:0, duty=493 
bat:4006mV, curr:390mA, ntc:7555R,  RMP:11916, duty:493, vbemf:579, bat_level:96, rpm_step:0, duty=493 
bat:4006mV, curr:390mA, ntc:7555R,  RMP:11916, duty:493, vbemf:578, bat_level:96, rpm_step:0, duty=493 
bat:4004mV, curr:390mA, ntc:7550R,  RMP:11916, duty:493, vbemf:581, bat_level:96, rpm_step:0, duty=493 
bat:4006mV, curr:390mA, ntc:7545R,  RMP:11916, duty:493, vbemf:576, bat_level:96, rpm_step:0, duty=493 
bat:4006mV, curr:390mA, ntc:7545R,  RMP:11916, duty:493, vbemf:577, bat_level:96, rpm_step:0, duty=493 
bat:4006mV, curr:390mA, ntc:7545R,  RMP:11916, duty:493, vbemf:575, bat_level:96, rpm_step:0, duty=493 
bat:4006mV, curr:390mA, ntc:7545R,  RMP:11916, duty:493, vbemf:577, bat_level:96, rpm_step:0, duty=493 
bat:4006mV, curr:410mA, ntc:7535R,  RMP:11916, duty:493, vbemf:565, bat_level:96, rpm_step:0, duty=493 
bat:4006mV, curr:410mA, ntc:7535R,  RMP:11916, duty:493, vbemf:568, bat_level:96, rpm_step:0, duty=493 
pwm output disable!
*exit task_dyn_reg!
*motor stop, is_use_emergency_flag:0 
 *exit task_motor!
ENTER_STDBY_DELAY!!
enter standby-mode! 
