 
 
 *exit standby-mode! 
task_idle highWater:21
adc_module_init comp. 
*enter task_motor!
*enter task_dyn_reg!
pwm output enable!
bat:3618mV, curr:1840mA, ntc:7586R, adj:0, RMP:13288, duty:769, vbemf:895, bat_level:85, is_use_emergency_flag=0 
bat:3618mV, curr:1840mA, ntc:7586R, adj:0, RMP:13258, duty:762, vbemf:902, bat_level:85, is_use_emergency_flag=0 
bat:3620mV, curr:1800mA, ntc:7592R, adj:0, RMP:13258, duty:762, vbemf:888, bat_level:85, is_use_emergency_flag=0 
bat:3618mV, curr:1800mA, ntc:7586R, adj:0, RMP:13243, duty:762, vbemf:880, bat_level:85, is_use_emergency_flag=0 
bat:3618mV, curr:1800mA, ntc:7586R, adj:0, RMP:13213, duty:762, vbemf:892, bat_level:85, is_use_emergency_flag=0 
bat:3618mV, curr:1800mA, ntc:7586R, adj:0, RMP:13213, duty:762, vbemf:894, bat_level:85, is_use_emergency_flag=0 
bat:3618mV, curr:1800mA, ntc:7586R, adj:0, RMP:13183, duty:762, vbemf:897, bat_level:85, is_use_emergency_flag=0 
bat:3618mV, curr:1800mA, ntc:7586R, adj:0, RMP:13183, duty:760, vbemf:893, bat_level:85, is_use_emergency_flag=0 
bat:3618mV, curr:1800mA, ntc:7586R, adj:0, RMP:13153, duty:760, vbemf:898, bat_level:85, is_use_emergency_flag=0 
bat:3618mV, curr:1760mA, ntc:7586R, adj:0, RMP:13153, duty:751, vbemf:900, bat_level:85, is_use_emergency_flag=0 
bat:3620mV, curr:1740mA, ntc:7592R, adj:0, RMP:13138, duty:750, vbemf:893, bat_level:85, is_use_emergency_flag=0 
bat:3620mV, curr:1720mA, ntc:7592R, adj:0, RMP:13123, duty:744, vbemf:893, bat_level:85, is_use_emergency_flag=0 
bat:3620mV, curr:1700mA, ntc:7592R, adj:0, RMP:13093, duty:740, vbemf:900, bat_level:85, is_use_emergency_flag=0 
bat:3622mV, curr:1660mA, ntc:7598R, adj:0, RMP:13093, duty:732, vbemf:893, bat_level:85, is_use_emergency_flag=0 
bat:3624mV, curr:1620mA, ntc:7592R, adj:0, RMP:13048, duty:708, vbemf:873, bat_level:85, is_use_emergency_flag=0 
bat:3630mV, curr:1540mA, ntc:7609R, adj:0, RMP:13048, duty:708, vbemf:873, bat_level:85, is_use_emergency_flag=0 
bat:3630mV, curr:1540mA, ntc:7609R, adj:0, RMP:13048, duty:708, vbemf:876, bat_level:85, is_use_emergency_flag=0 
bat:3630mV, curr:1540mA, ntc:7597R, adj:0, RMP:13048, duty:708, vbemf:873, bat_level:85, is_use_emergency_flag=0 
bat:3630mV, curr:1540mA, ntc:7597R, adj:0, RMP:13048, duty:708, vbemf:882, bat_level:85, is_use_emergency_flag=0 
bat:3630mV, curr:1540mA, ntc:7597R, adj:0, RMP:13048, duty:708, vbemf:883, bat_level:85, is_use_emergency_flag=0 
bat:3628mV, curr:1540mA, ntc:7592R, adj:0, RMP:13033, duty:708, vbemf:889, bat_level:85, is_use_emergency_flag=0 
bat:3628mV, curr:1540mA, ntc:7592R, adj:0, RMP:13033, duty:708, vbemf:892, bat_level:85, is_use_emergency_flag=0 
bat:3628mV, curr:1540mA, ntc:7592R, adj:0, RMP:13018, duty:708, vbemf:897, bat_level:85, is_use_emergency_flag=0 
bat:3628mV, curr:1540mA, ntc:7592R, adj:0, RMP:13018, duty:707, vbemf:893, bat_level:85, is_use_emergency_flag=0 
bat:3628mV, curr:1540mA, ntc:7592R, adj:0, RMP:13018, duty:707, vbemf:899, bat_level:85, is_use_emergency_flag=0 
bat:3626mV, curr:1540mA, ntc:7586R, adj:0, RMP:13018, duty:707, vbemf:894, bat_level:85, is_use_emergency_flag=0 
bat:3628mV, curr:1520mA, ntc:7581R, adj:0, RMP:13003, duty:703, vbemf:898, bat_level:85, is_use_emergency_flag=0 
