 
 
 *exit standby-mode! 
task_idle highWater:21
adc_module_init comp. 
*enter task_motor!
*enter task_dyn_reg!
pwm output enable!
bat:3670mV, curr:2440mA, ntc:6712R, adj:0, RMP:16267, duty:850, vbemf:237, bat_level:90, is_use_emergency_flag=0 
bat:3672mV, curr:2420mA, ntc:6717R, adj:0, RMP:16267, duty:850, vbemf:255, bat_level:90, is_use_emergency_flag=0 
bat:3670mV, curr:2420mA, ntc:6721R, adj:0, RMP:16267, duty:850, vbemf:239, bat_level:90, is_use_emergency_flag=0 
bat:3670mV, curr:2440mA, ntc:6721R, adj:0, RMP:16267, duty:850, vbemf:237, bat_level:90, is_use_emergency_flag=0 
bat:3670mV, curr:2420mA, ntc:6721R, adj:0, RMP:16267, duty:850, vbemf:251, bat_level:90, is_use_emergency_flag=0 
bat:3670mV, curr:2420mA, ntc:6721R, adj:0, RMP:16267, duty:850, vbemf:257, bat_level:90, is_use_emergency_flag=0 
bat:3668mV, curr:2420mA, ntc:6716R, adj:0, RMP:16267, duty:850, vbemf:272, bat_level:90, is_use_emergency_flag=0 
bat:3668mV, curr:2420mA, ntc:6716R, adj:0, RMP:16267, duty:850, vbemf:265, bat_level:90, is_use_emergency_flag=0 
bat:3668mV, curr:2440mA, ntc:6716R, adj:0, RMP:16267, duty:850, vbemf:253, bat_level:90, is_use_emergency_flag=0 
bat:3666mV, curr:2440mA, ntc:6711R, adj:0, RMP:16267, duty:850, vbemf:237, bat_level:90, is_use_emergency_flag=0 
bat:3666mV, curr:2440mA, ntc:6711R, adj:0, RMP:16267, duty:850, vbemf:255, bat_level:90, is_use_emergency_flag=0 
bat:3666mV, curr:2440mA, ntc:6721R, adj:0, RMP:16267, duty:850, vbemf:251, bat_level:90, is_use_emergency_flag=0 
bat:3664mV, curr:2420mA, ntc:6716R, adj:0, RMP:16267, duty:850, vbemf:244, bat_level:90, is_use_emergency_flag=0 
bat:3664mV, curr:2440mA, ntc:6716R, adj:0, RMP:16267, duty:850, vbemf:238, bat_level:90, is_use_emergency_flag=0 
bat:3664mV, curr:2440mA, ntc:6716R, adj:0, RMP:16267, duty:850, vbemf:258, bat_level:90, is_use_emergency_flag=0 
bat:3664mV, curr:2420mA, ntc:6716R, adj:0, RMP:16267, duty:850, vbemf:254, bat_level:90, is_use_emergency_flag=0 
bat:3662mV, curr:2420mA, ntc:6711R, adj:0, RMP:16267, duty:850, vbemf:264, bat_level:90, is_use_emergency_flag=0 
bat:3662mV, curr:2420mA, ntc:6711R, adj:0, RMP:16267, duty:850, vbemf:253, bat_level:90, is_use_emergency_flag=0 
bat:3662mV, curr:2440mA, ntc:6711R, adj:0, RMP:16267, duty:850, vbemf:236, bat_level:90, is_use_emergency_flag=0 
bat:3662mV, curr:2420mA, ntc:6711R, adj:0, RMP:16267, duty:850, vbemf:247, bat_level:90, is_use_emergency_flag=0 
bat:3662mV, curr:2420mA, ntc:6711R, adj:0, RMP:16267, duty:850, vbemf:254, bat_level:90, is_use_emergency_flag=0 
bat:3660mV, curr:2420mA, ntc:6706R, adj:0, RMP:16267, duty:850, vbemf:248, bat_level:90, is_use_emergency_flag=0 
bat:3660mV, curr:2420mA, ntc:6706R, adj:0, RMP:16267, duty:850, vbemf:246, bat_level:90, is_use_emergency_flag=0 
bat:3660mV, curr:2420mA, ntc:6706R, adj:0, RMP:16267, duty:850, vbemf:255, bat_level:90, is_use_emergency_flag=0 
bat:3658mV, curr:2420mA, ntc:6701R, adj:0, RMP:16267, duty:850, vbemf:263, bat_level:90, is_use_emergency_flag=0 
bat:3658mV, curr:2420mA, ntc:6701R, adj:0, RMP:16267, duty:850, vbemf:253, bat_level:90, is_use_emergency_flag=0 
bat:3658mV, curr:2420mA, ntc:6701R, adj:0, RMP:16267, duty:850, vbemf:258, bat_level:90, is_use_emergency_flag=0 
bat:3658mV, curr:2420mA, ntc:6701R, adj:0, RMP:16267, duty:850, vbemf:259, bat_level:90, is_use_emergency_flag=0 
bat:3658mV, curr:2420mA, ntc:6701R, adj:0, RMP:16267, duty:850, vbemf:261, bat_level:90, is_use_emergency_flag=0 
bat:3658mV, curr:2420mA, ntc:6701R, adj:0, RMP:16267, duty:850, vbemf:254, bat_level:90, is_use_emergency_flag=0 
bat:3656mV, curr:2420mA, ntc:6696R, adj:0, RMP:16267, duty:850, vbemf:248, bat_level:90, is_use_emergency_flag=0 
bat:3658mV, curr:2420mA, ntc:6701R, adj:0, RMP:16267, duty:850, vbemf:254, bat_level:90, is_use_emergency_flag=0 
bat:3656mV, curr:2420mA, ntc:6696R, adj:0, RMP:16267, duty:850, vbemf:255, bat_level:90, is_use_emergency_flag=0 
bat:3656mV, curr:2420mA, ntc:6696R, adj:0, RMP:16267, duty:850, vbemf:247, bat_level:90, is_use_emergency_flag=0 
bat:3656mV, curr:2420mA, ntc:6696R, adj:0, RMP:16267, duty:850, vbemf:257, bat_level:90, is_use_emergency_flag=0 
bat:3656mV, curr:2420mA, ntc:6696R, adj:0, RMP:16267, duty:850, vbemf:265, bat_level:90, is_use_emergency_flag=0 
bat:3654mV, curr:2420mA, ntc:6691R, adj:0, RMP:16267, duty:850, vbemf:250, bat_level:90, is_use_emergency_flag=0 
bat:3656mV, curr:2420mA, ntc:6696R, adj:0, RMP:16267, duty:850, vbemf:263, bat_level:90, is_use_emergency_flag=0 
bat:3654mV, curr:2420mA, ntc:6700R, adj:0, RMP:16267, duty:850, vbemf:257, bat_level:90, is_use_emergency_flag=0 
bat:3654mV, curr:2420mA, ntc:6700R, adj:0, RMP:16267, duty:850, vbemf:255, bat_level:90, is_use_emergency_flag=0 
bat:3652mV, curr:2420mA, ntc:6686R, adj:0, RMP:16267, duty:850, vbemf:261, bat_level:90, is_use_emergency_flag=0 
