 
 
 *exit standby-mode! 
task_idle highWater:21
adc_module_init comp. 
*enter task_motor!
*enter task_dyn_reg!
pwm output enable!
bat:4066mV, curr:980mA, ntc:7634R, adj:0, RMP:12608, duty:560, vbemf:732, bat_level:100, is_use_emergency_flag=0 
bat:4060mV, curr:1060mA, ntc:7619R, adj:0, RMP:12608, duty:577, vbemf:840, bat_level:100, is_use_emergency_flag=0 
bat:4058mV, curr:1080mA, ntc:7624R, adj:0, RMP:12608, duty:577, vbemf:895, bat_level:100, is_use_emergency_flag=0 
bat:4060mV, curr:1040mA, ntc:7619R, adj:0, RMP:12608, duty:556, vbemf:893, bat_level:100, is_use_emergency_flag=0 
bat:4060mV, curr:980mA, ntc:7619R, adj:0, RMP:12608, duty:540, vbemf:899, bat_level:100, is_use_emergency_flag=0 
bat:4062mV, curr:920mA, ntc:7624R, adj:0, RMP:12608, duty:532, vbemf:893, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:900mA, ntc:7624R, adj:0, RMP:12608, duty:527, vbemf:896, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:860mA, ntc:7624R, adj:0, RMP:12608, duty:520, vbemf:899, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:840mA, ntc:7624R, adj:0, RMP:12608, duty:512, vbemf:898, bat_level:100, is_use_emergency_flag=0 
motor_sta.is_control_duty_scan_freq = 0 remove restrict!

bat:4068mV, curr:820mA, ntc:7629R, adj:0, RMP:12608, duty:505, vbemf:870, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:800mA, ntc:7629R, adj:0, RMP:12608, duty:504, vbemf:903, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:780mA, ntc:7619R, adj:0, RMP:12608, duty:499, vbemf:889, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:780mA, ntc:7619R, adj:0, RMP:12608, duty:496, vbemf:902, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:780mA, ntc:7619R, adj:0, RMP:12608, duty:496, vbemf:887, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:780mA, ntc:7619R, adj:0, RMP:12608, duty:496, vbemf:870, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:780mA, ntc:7619R, adj:0, RMP:12608, duty:496, vbemf:865, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:780mA, ntc:7619R, adj:0, RMP:12608, duty:496, vbemf:895, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:760mA, ntc:7619R, adj:0, RMP:12608, duty:493, vbemf:897, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:760mA, ntc:7619R, adj:0, RMP:12608, duty:488, vbemf:890, bat_level:100, is_use_emergency_flag=0 
bat:4070mV, curr:740mA, ntc:7613R, adj:0, RMP:12608, duty:485, vbemf:869, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:740mA, ntc:7619R, adj:0, RMP:12608, duty:485, vbemf:882, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:740mA, ntc:7609R, adj:0, RMP:12608, duty:485, vbemf:885, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:720mA, ntc:7609R, adj:0, RMP:12608, duty:479, vbemf:903, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:720mA, ntc:7609R, adj:0, RMP:12608, duty:478, vbemf:893, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:700mA, ntc:7609R, adj:0, RMP:12608, duty:475, vbemf:890, bat_level:100, is_use_emergency_flag=0 
bat:4070mV, curr:700mA, ntc:7603R, adj:0, RMP:12608, duty:474, vbemf:891, bat_level:100, is_use_emergency_flag=0 
bat:4070mV, curr:700mA, ntc:7603R, adj:0, RMP:12610, duty:469, vbemf:864, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:700mA, ntc:7598R, adj:0, RMP:12610, duty:478, vbemf:775, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:740mA, ntc:7604R, adj:0, RMP:12610, duty:484, vbemf:834, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:740mA, ntc:7604R, adj:0, RMP:12610, duty:484, vbemf:852, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:740mA, ntc:7604R, adj:0, RMP:12610, duty:484, vbemf:873, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:720mA, ntc:7594R, adj:0, RMP:12610, duty:480, vbemf:900, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:700mA, ntc:7598R, adj:0, RMP:12610, duty:475, vbemf:898, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:700mA, ntc:7598R, adj:0, RMP:12610, duty:471, vbemf:880, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:700mA, ntc:7598R, adj:0, RMP:12610, duty:471, vbemf:885, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:680mA, ntc:7598R, adj:0, RMP:12610, duty:468, vbemf:896, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:660mA, ntc:7598R, adj:0, RMP:12610, duty:464, vbemf:849, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:680mA, ntc:7598R, adj:0, RMP:12610, duty:464, vbemf:865, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:660mA, ntc:7598R, adj:0, RMP:12610, duty:464, vbemf:889, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:660mA, ntc:7598R, adj:0, RMP:12610, duty:464, vbemf:892, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:660mA, ntc:7598R, adj:0, RMP:12610, duty:463, vbemf:900, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:660mA, ntc:7598R, adj:0, RMP:12610, duty:462, vbemf:894, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:660mA, ntc:7598R, adj:0, RMP:12610, duty:461, vbemf:844, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:700mA, ntc:7598R, adj:0, RMP:12610, duty:469, vbemf:837, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:700mA, ntc:7594R, adj:0, RMP:12610, duty:469, vbemf:872, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:700mA, ntc:7583R, adj:0, RMP:12610, duty:469, vbemf:890, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:680mA, ntc:7588R, adj:0, RMP:12610, duty:463, vbemf:886, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:660mA, ntc:7588R, adj:0, RMP:12580, duty:460, vbemf:893, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:660mA, ntc:7588R, adj:0, RMP:12580, duty:460, vbemf:870, bat_level:100, is_use_emergency_flag=0 
bat:4068mV, curr:660mA, ntc:7588R, adj:0, RMP:12580, duty:460, vbemf:848, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:660mA, ntc:7583R, adj:0, RMP:12580, duty:468, vbemf:814, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:680mA, ntc:7583R, adj:0, RMP:12580, duty:468, vbemf:871, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:680mA, ntc:7583R, adj:0, RMP:12582, duty:468, vbemf:881, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:660mA, ntc:7583R, adj:0, RMP:12582, duty:466, vbemf:880, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:660mA, ntc:7583R, adj:0, RMP:12582, duty:466, vbemf:891, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:680mA, ntc:7583R, adj:0, RMP:12582, duty:466, vbemf:802, bat_level:100, is_use_emergency_flag=0 
bat:4064mV, curr:700mA, ntc:7579R, adj:0, RMP:12582, duty:473, vbemf:840, bat_level:100, is_use_emergency_flag=0 
bat:4064mV, curr:700mA, ntc:7579R, adj:0, RMP:12582, duty:473, vbemf:872, bat_level:100, is_use_emergency_flag=0 
bat:4064mV, curr:700mA, ntc:7579R, adj:0, RMP:12582, duty:473, vbemf:880, bat_level:100, is_use_emergency_flag=0 
bat:4064mV, curr:700mA, ntc:7579R, adj:0, RMP:12582, duty:472, vbemf:883, bat_level:100, is_use_emergency_flag=0 
bat:4064mV, curr:700mA, ntc:7579R, adj:0, RMP:12582, duty:472, vbemf:862, bat_level:100, is_use_emergency_flag=0 
bat:4062mV, curr:700mA, ntc:7574R, adj:0, RMP:12582, duty:472, vbemf:884, bat_level:100, is_use_emergency_flag=0 
bat:4062mV, curr:680mA, ntc:7574R, adj:0, RMP:12582, duty:469, vbemf:894, bat_level:100, is_use_emergency_flag=0 
bat:4064mV, curr:660mA, ntc:7579R, adj:0, RMP:12582, duty:464, vbemf:889, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:660mA, ntc:7583R, adj:0, RMP:12582, duty:464, vbemf:894, bat_level:100, is_use_emergency_flag=0 
bat:4066mV, curr:660mA, ntc:7573R, adj:0, RMP:12582, duty:463, vbemf:899, bat_level:100, is_use_emergency_flag=0 
bat:4064mV, curr:680mA, ntc:7569R, adj:0, RMP:12582, duty:478, vbemf:749, bat_level:100, is_use_emergency_flag=0 
bat:4058mV, curr:800mA, ntc:7564R, adj:0, RMP:12582, duty:510, vbemf:635, bat_level:100, is_use_emergency_flag=0 
bat:4052mV, curr:920mA, ntc:7559R, adj:0, RMP:12582, duty:542, vbemf:654, bat_level:100, is_use_emergency_flag=0 
bat:4044mV, curr:1040mA, ntc:7539R, adj:0, RMP:12582, duty:574, vbemf:751, bat_level:100, is_use_emergency_flag=0 
bat:4038mV, curr:1160mA, ntc:7544R, adj:0, RMP:12582, duty:603, vbemf:811, bat_level:100, is_use_emergency_flag=0 
bat:4034mV, curr:1220mA, ntc:7534R, adj:0, RMP:12582, duty:606, vbemf:851, bat_level:100, is_use_emergency_flag=0 
bat:4032mV, curr:1220mA, ntc:7529R, adj:0, RMP:12582, duty:606, vbemf:853, bat_level:100, is_use_emergency_flag=0 
bat:4032mV, curr:1220mA, ntc:7529R, adj:0, RMP:12582, duty:606, vbemf:854, bat_level:100, is_use_emergency_flag=0 
bat:4030mV, curr:1260mA, ntc:7524R, adj:0, RMP:12582, duty:612, vbemf:850, bat_level:100, is_use_emergency_flag=0 
bat:4028mV, curr:1260mA, ntc:7519R, adj:0, RMP:12582, duty:617, vbemf:614, bat_level:100, is_use_emergency_flag=0 
bat:4022mV, curr:1420mA, ntc:7514R, adj:0, RMP:12882, duty:649, vbemf:639, bat_level:100, is_use_emergency_flag=0 
bat:4016mV, curr:1460mA, ntc:7509R, adj:0, RMP:12882, duty:645, vbemf:926, bat_level:100, is_use_emergency_flag=0 
