 
 
 *exit standby-mode! 
task_idle highWater:12
*enter task_motor!
*enter task_dyn_reg!
adc_temp:2057, vref:1254 mV
pwm output enable!
bat:3962mV, curr:1050mA, ntc:8351R,  RMP:12006, duty:756, vbemf:569, bat_level:96, rpm_step:0, duty=756 
bat:3962mV, curr:1010mA, ntc:8351R,  RMP:12006, duty:742, vbemf:552, bat_level:96, rpm_step:0, duty=742 
bat:3962mV, curr:1010mA, ntc:8351R,  RMP:12006, duty:746, vbemf:501, bat_level:96, rpm_step:0, duty=746 
bat:3960mV, curr:1030mA, ntc:8345R,  RMP:12006, duty:750, vbemf:536, bat_level:96, rpm_step:0, duty=750 
bat:3960mV, curr:1030mA, ntc:8345R,  RMP:12006, duty:750, vbemf:511, bat_level:96, rpm_step:0, duty=750 
bat:3958mV, curr:1030mA, ntc:8340R,  RMP:12006, duty:754, vbemf:565, bat_level:96, rpm_step:0, duty=754 
bat:3958mV, curr:1030mA, ntc:8340R,  RMP:12006, duty:754, vbemf:519, bat_level:96, rpm_step:0, duty=754 
bat:3958mV, curr:1030mA, ntc:8340R,  RMP:12006, duty:758, vbemf:501, bat_level:96, rpm_step:0, duty=758 
bat:3956mV, curr:1050mA, ntc:8334R,  RMP:12006, duty:760, vbemf:539, bat_level:96, rpm_step:0, duty=760 
bat:3956mV, curr:1050mA, ntc:8322R,  RMP:12006, duty:760, vbemf:529, bat_level:96, rpm_step:0, duty=760 
bat:3956mV, curr:1070mA, ntc:8322R,  RMP:12006, duty:766, vbemf:529, bat_level:96, rpm_step:0, duty=766 
bat:3952mV, curr:1130mA, ntc:8323R,  RMP:12006, duty:788, vbemf:525, bat_level:96, rpm_step:0, duty=788 
bat:3948mV, curr:1210mA, ntc:8312R,  RMP:12006, duty:816, vbemf:517, bat_level:96, rpm_step:0, duty=816 
bat:3944mV, curr:1310mA, ntc:8301R,  RMP:12006, duty:845, vbemf:543, bat_level:96, rpm_step:0, duty=845 
bat:3938mV, curr:1370mA, ntc:8285R,  RMP:12006, duty:851, vbemf:548, bat_level:96, rpm_step:0, duty=851 
bat:3938mV, curr:1370mA, ntc:8285R,  RMP:12006, duty:851, vbemf:570, bat_level:96, rpm_step:0, duty=851 
bat:3936mV, curr:1370mA, ntc:8291R,  RMP:12006, duty:855, vbemf:581, bat_level:96, rpm_step:0, duty=855 
bat:3936mV, curr:1350mA, ntc:8279R,  RMP:12006, duty:843, vbemf:640, bat_level:96, rpm_step:0, duty=843 
bat:3948mV, curr:1110mA, ntc:8300R,  RMP:11961, duty:766, vbemf:545, bat_level:96, rpm_step:0, duty=766 
bat:3950mV, curr:1070mA, ntc:8294R,  RMP:11961, duty:763, vbemf:569, bat_level:96, rpm_step:0, duty=763 
bat:3952mV, curr:1030mA, ntc:8300R,  RMP:11961, duty:759, vbemf:561, bat_level:96, rpm_step:0, duty=759 
bat:3952mV, curr:1050mA, ntc:8288R,  RMP:11961, duty:766, vbemf:537, bat_level:96, rpm_step:0, duty=766 
bat:3948mV, curr:1110mA, ntc:8289R,  RMP:11961, duty:787, vbemf:556, bat_level:96, rpm_step:0, duty=787 
bat:3944mV, curr:1170mA, ntc:8278R,  RMP:11961, duty:798, vbemf:558, bat_level:96, rpm_step:0, duty=798 
bat:3940mV, curr:1250mA, ntc:8279R,  RMP:11991, duty:838, vbemf:589, bat_level:96, rpm_step:-15, duty=838 
bat:3936mV, curr:1310mA, ntc:8268R,  RMP:11976, duty:839, vbemf:570, bat_level:96, rpm_step:0, duty=839 
bat:3936mV, curr:1330mA, ntc:8244R,  RMP:11976, duty:839, vbemf:579, bat_level:96, rpm_step:0, duty=839 
bat:3936mV, curr:1330mA, ntc:8256R,  RMP:11976, duty:841, vbemf:553, bat_level:96, rpm_step:0, duty=841 
bat:3936mV, curr:1330mA, ntc:8244R,  RMP:11946, duty:841, vbemf:598, bat_level:96, rpm_step:0, duty=841 
bat:3936mV, curr:1330mA, ntc:8244R,  RMP:11946, duty:845, vbemf:566, bat_level:96, rpm_step:0, duty=845 
bat:3934mV, curr:1390mA, ntc:8239R,  RMP:11946, duty:860, vbemf:514, bat_level:96, rpm_step:0, duty=860 
bat:3930mV, curr:1410mA, ntc:8228R,  RMP:11946, duty:868, vbemf:580, bat_level:96, rpm_step:0, duty=868 
bat:3930mV, curr:1430mA, ntc:8228R,  RMP:11946, duty:871, vbemf:601, bat_level:96, rpm_step:0, duty=871 
bat:3928mV, curr:1430mA, ntc:8222R,  RMP:11946, duty:875, vbemf:508, bat_level:96, rpm_step:0, duty=875 
bat:3926mV, curr:1470mA, ntc:8217R,  RMP:11946, duty:878, vbemf:533, bat_level:96, rpm_step:0, duty=878 
bat:3926mV, curr:1470mA, ntc:8217R,  RMP:11931, duty:877, vbemf:582, bat_level:96, rpm_step:0, duty=877 
bat:3928mV, curr:1450mA, ntc:8222R,  RMP:11931, duty:877, vbemf:621, bat_level:96, rpm_step:0, duty=877 
bat:3926mV, curr:1470mA, ntc:8205R,  RMP:11931, duty:877, vbemf:545, bat_level:96, rpm_step:0, duty=877 
bat:3926mV, curr:1450mA, ntc:8205R,  RMP:11886, duty:817, vbemf:641, bat_level:96, rpm_step:0, duty=817 
bat:3934mV, curr:1250mA, ntc:8215R,  RMP:11886, duty:828, vbemf:547, bat_level:96, rpm_step:0, duty=828 
bat:3932mV, curr:1330mA, ntc:8210R,  RMP:11886, duty:846, vbemf:501, bat_level:96, rpm_step:0, duty=846 
bat:3930mV, curr:1330mA, ntc:8193R,  RMP:11886, duty:830, vbemf:608, bat_level:96, rpm_step:0, duty=830 
bat:3934mV, curr:1290mA, ntc:8203R,  RMP:11886, duty:839, vbemf:518, bat_level:96, rpm_step:0, duty=839 
bat:3928mV, curr:1390mA, ntc:8187R,  RMP:11886, duty:861, vbemf:566, bat_level:96, rpm_step:0, duty=861 
bat:3928mV, curr:1370mA, ntc:8187R,  RMP:11886, duty:848, vbemf:625, bat_level:96, rpm_step:0, duty=848 
bat:3930mV, curr:1330mA, ntc:8193R,  RMP:11886, duty:841, vbemf:583, bat_level:96, rpm_step:0, duty=841 
bat:3930mV, curr:1350mA, ntc:8181R,  RMP:11886, duty:855, vbemf:502, bat_level:96, rpm_step:0, duty=855 
bat:3924mV, curr:1450mA, ntc:8176R,  RMP:11886, duty:887, vbemf:520, bat_level:96, rpm_step:0, duty=887 
bat:3920mV, curr:1510mA, ntc:8165R,  RMP:11886, duty:893, vbemf:557, bat_level:96, rpm_step:0, duty=893 
bat:3918mV, curr:1550mA, ntc:8160R,  RMP:11886, duty:898, vbemf:561, bat_level:96, rpm_step:0, duty=898 
bat:3918mV, curr:1530mA, ntc:8160R,  RMP:11886, duty:898, vbemf:538, bat_level:96, rpm_step:0, duty=898 
bat:3914mV, curr:1610mA, ntc:8137R,  RMP:12036, duty:923, vbemf:475, bat_level:96, rpm_step:0, duty=923 
bat:3910mV, curr:1670mA, ntc:8138R,  RMP:11961, duty:911, vbemf:608, bat_level:96, rpm_step:-15, duty=911 
bat:3922mV, curr:1410mA, ntc:8148R,  RMP:11901, duty:829, vbemf:532, bat_level:96, rpm_step:0, duty=829 
bat:3928mV, curr:1290mA, ntc:8152R,  RMP:11901, duty:829, vbemf:551, bat_level:96, rpm_step:0, duty=829 
bat:3928mV, curr:1290mA, ntc:8152R,  RMP:11901, duty:834, vbemf:536, bat_level:96, rpm_step:0, duty=834 
