 
 
 *exit standby-mode! 
task_idle highWater:21
adc_module_init comp. 
*enter task_motor!
*enter task_dyn_reg!
pwm output enable!
bat:3670mV, curr:1200mA, ntc:7989R, adj:0, RMP:14698, duty:608, vbemf:310, bat_level:84, is_use_emergency_flag=0 
bat:3660mV, curr:1260mA, ntc:7973R, adj:0, RMP:14698, duty:640, vbemf:349, bat_level:84, is_use_emergency_flag=0 
bat:3650mV, curr:1420mA, ntc:7956R, adj:0, RMP:14698, duty:650, vbemf:339, bat_level:84, is_use_emergency_flag=0 
bat:3648mV, curr:1420mA, ntc:7950R, adj:-15, RMP:14098, duty:650, vbemf:448, bat_level:84, is_use_emergency_flag=0 
bat:3652mV, curr:1360mA, ntc:7962R, adj:-15, RMP:13618, duty:650, vbemf:565, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1300mA, ntc:7973R, adj:0, RMP:13438, duty:650, vbemf:593, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1300mA, ntc:7973R, adj:0, RMP:13423, duty:650, vbemf:583, bat_level:84, is_use_emergency_flag=0 
bat:3654mV, curr:1300mA, ntc:7968R, adj:0, RMP:13393, duty:650, vbemf:580, bat_level:84, is_use_emergency_flag=0 
bat:3654mV, curr:1300mA, ntc:7968R, adj:0, RMP:13363, duty:650, vbemf:573, bat_level:84, is_use_emergency_flag=0 
bat:3654mV, curr:1300mA, ntc:7968R, adj:-15, RMP:13333, duty:650, vbemf:564, bat_level:84, is_use_emergency_flag=0 
motor_sta.is_control_duty_scan_freq = 0 remove restrict!

bat:3648mV, curr:1360mA, ntc:7950R, adj:0, RMP:13198, duty:675, vbemf:552, bat_level:84, is_use_emergency_flag=0 
bat:3644mV, curr:1440mA, ntc:7951R, adj:0, RMP:12988, duty:679, vbemf:567, bat_level:84, is_use_emergency_flag=0 
bat:3644mV, curr:1440mA, ntc:7951R, adj:0, RMP:12823, duty:679, vbemf:580, bat_level:84, is_use_emergency_flag=0 
bat:3650mV, curr:1320mA, ntc:7968R, adj:0, RMP:12703, duty:628, vbemf:522, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1240mA, ntc:7973R, adj:0, RMP:12703, duty:629, vbemf:545, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1240mA, ntc:7973R, adj:0, RMP:12688, duty:629, vbemf:560, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1220mA, ntc:7973R, adj:0, RMP:12613, duty:629, vbemf:579, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1220mA, ntc:7973R, adj:0, RMP:12583, duty:624, vbemf:580, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1180mA, ntc:7979R, adj:0, RMP:12583, duty:617, vbemf:582, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1160mA, ntc:7973R, adj:0, RMP:12583, duty:614, vbemf:578, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1140mA, ntc:7979R, adj:0, RMP:12553, duty:605, vbemf:577, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1100mA, ntc:7979R, adj:0, RMP:12553, duty:604, vbemf:581, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1100mA, ntc:7979R, adj:0, RMP:12553, duty:603, vbemf:581, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1100mA, ntc:7979R, adj:0, RMP:12553, duty:602, vbemf:577, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1100mA, ntc:7979R, adj:0, RMP:12553, duty:602, vbemf:583, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1100mA, ntc:7979R, adj:0, RMP:12553, duty:600, vbemf:582, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1100mA, ntc:7979R, adj:0, RMP:12553, duty:600, vbemf:584, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1080mA, ntc:7979R, adj:0, RMP:12553, duty:598, vbemf:588, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1080mA, ntc:7979R, adj:0, RMP:12553, duty:596, vbemf:586, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1060mA, ntc:7979R, adj:0, RMP:12523, duty:590, vbemf:589, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1040mA, ntc:7979R, adj:0, RMP:12523, duty:587, vbemf:590, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1040mA, ntc:7967R, adj:0, RMP:12523, duty:586, vbemf:580, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1040mA, ntc:7967R, adj:0, RMP:12523, duty:586, vbemf:586, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1040mA, ntc:7967R, adj:0, RMP:12523, duty:586, vbemf:590, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1040mA, ntc:7967R, adj:0, RMP:12523, duty:586, vbemf:586, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1040mA, ntc:7967R, adj:0, RMP:12523, duty:586, vbemf:585, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1040mA, ntc:7973R, adj:0, RMP:12523, duty:586, vbemf:590, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1040mA, ntc:7961R, adj:0, RMP:12523, duty:586, vbemf:596, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1040mA, ntc:7967R, adj:0, RMP:12523, duty:586, vbemf:593, bat_level:84, is_use_emergency_flag=0 
bat:3658mV, curr:1040mA, ntc:7967R, adj:0, RMP:12523, duty:586, vbemf:593, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1040mA, ntc:7961R, adj:0, RMP:12523, duty:586, vbemf:585, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1040mA, ntc:7961R, adj:0, RMP:12523, duty:586, vbemf:582, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1040mA, ntc:7961R, adj:0, RMP:12523, duty:586, vbemf:584, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1040mA, ntc:7961R, adj:0, RMP:12523, duty:584, vbemf:592, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1020mA, ntc:7961R, adj:0, RMP:12523, duty:584, vbemf:590, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1020mA, ntc:7961R, adj:0, RMP:12523, duty:584, vbemf:586, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1020mA, ntc:7961R, adj:0, RMP:12523, duty:584, vbemf:580, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1020mA, ntc:7961R, adj:0, RMP:12523, duty:584, vbemf:595, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1020mA, ntc:7961R, adj:0, RMP:12523, duty:583, vbemf:597, bat_level:84, is_use_emergency_flag=0 
bat:3654mV, curr:1000mA, ntc:7955R, adj:0, RMP:12508, duty:579, vbemf:595, bat_level:84, is_use_emergency_flag=0 
bat:3656mV, curr:1000mA, ntc:7961R, adj:0, RMP:12508, duty:579, vbemf:591, bat_level:84, is_use_emergency_flag=0 
bat:3654mV, curr:1000mA, ntc:7955R, adj:0, RMP:12508, duty:579, vbemf:577, bat_level:84, is_use_emergency_flag=0 
bat:3654mV, curr:1000mA, ntc:7955R, adj:0, RMP:12508, duty:579, vbemf:568, bat_level:84, is_use_emergency_flag=0 
bat:3654mV, curr:1000mA, ntc:7955R, adj:0, RMP:12508, duty:579, vbemf:564, bat_level:84, is_use_emergency_flag=0 
bat:3652mV, curr:1000mA, ntc:7950R, adj:0, RMP:12508, duty:579, vbemf:566, bat_level:84, is_use_emergency_flag=0 
bat:3652mV, curr:1000mA, ntc:7950R, adj:0, RMP:12508, duty:579, vbemf:559, bat_level:84, is_use_emergency_flag=0 
bat:3652mV, curr:1000mA, ntc:7950R, adj:0, RMP:12508, duty:579, vbemf:572, bat_level:84, is_use_emergency_flag=0 
bat:3652mV, curr:1000mA, ntc:7950R, adj:0, RMP:12508, duty:579, vbemf:576, bat_level:84, is_use_emergency_flag=0 
bat:3652mV, curr:1000mA, ntc:7950R, adj:0, RMP:12508, duty:579, vbemf:566, bat_level:84, is_use_emergency_flag=0 
bat:3652mV, curr:1020mA, ntc:7950R, adj:0, RMP:12508, duty:579, vbemf:570, bat_level:84, is_use_emergency_flag=0 
bat:3652mV, curr:1000mA, ntc:7950R, adj:0, RMP:12508, duty:579, vbemf:579, bat_level:84, is_use_emergency_flag=0 
bat:3652mV, curr:1000mA, ntc:7950R, adj:0, RMP:12508, duty:579, vbemf:587, bat_level:84, is_use_emergency_flag=0 
bat:3652mV, curr:1000mA, ntc:7950R, adj:0, RMP:12508, duty:579, vbemf:590, bat_level:84, is_use_emergency_flag=0 
